Bar,lat,lon,state,state_distric,place,postcode,contact,cervezas
Merendero de la Atalaya,36.2789466,-6.0946350,Andalucía,-,Conil de la Frontera,11140,-,"{"Mahou": 3.25, "Alhambra": 3.10}"
Jacaranda,36.2738824,-6.0877399,Andalucía,-,Conil de la Frontera,11140,-,-
La Solera - Abacería,36.2754244,-6.0895324,Andalucía,-,Conil de la Frontera,11140,-,-
El Castillito,36.2746097,-6.0889440,Andalucía,-,Conil de la Frontera,11140,-,"{"Cruzcampo": "-"}"
Tio Luis,36.3256204,-6.1589531,Andalucía,-,Conil de la Frontera,11400,-,-
Chiringuito Roche,36.3181291,-6.1556379,Andalucía,-,Conil de la Frontera,11400,-,-
Cervecería Esparte,36.2798469,-6.0860095,Andalucía,-,Conil de la Frontera,11140,-,"{"Esparte": "-"}"
José Rayo,36.2761970,-6.0875946,Andalucía,-,Conil de la Frontera,11140,-,-
El Rest0bar,36.2742171,-6.0904185,Andalucía,-,Conil de la Frontera,11140,-,"{"Cruzcampo": "-"}"
El Curro Jimenez,36.2796683,-6.0977315,Andalucía,-,Conil de la Frontera,11140,-,.
Bar Marsalao,36.2759020,-6.0923486,Andalucía,-,Conil de la Frontera,11140,-,.
Pizza El Argentino,36.2778410,-6.0881991,Andalucía,-,Conil de la Frontera,11140,-,"{"Cruzcampo": 2.50, "Amstel": 2.50, "Estrella Galicia": 3.00}"
Bar Pedro,36.2775230,-6.0926604,Andalucía,-,Conil de la Frontera,11140,-,.
La Barra de la Villa,36.2755073,-6.0881491,Andalucía,-,Conil de la Frontera,11140,-,-
Cerveceria 3 Hermanos,36.2795853,-6.0891901,Andalucía,-,Conil de la Frontera,11140,-,"{"Cruzcampo": "-"}"
La Plaza,36.2790645,-6.0889705,Andalucía,-,Conil de la Frontera,11140,-,-
Conilatina,36.2755295,-6.0894478,Andalucía,-,Conil de la Frontera,11140,-,-
La Fabrica,36.2743721,-6.0891775,Andalucía,-,Conil de la Frontera,11140,-,-
Coyote,36.2777659,-6.0870828,Andalucía,-,Conil de la Frontera,11140,-,"{"Cruzcampo": "-", "Aguila", "-"}"
El Capricho,36.2751638,-6.0885325,Andalucía,-,Conil de la Frontera,11140,-,-
La Esquinita,36.2753786,-6.0884587,Andalucía,-,Conil de la Frontera,11140,-,-
Ave Maria,36.2753120,-6.0884659,Andalucía,-,Conil de la Frontera,11140,-,-
El picoteo,36.2749631,-6.0886180,Andalucía,-,Conil de la Frontera,11140,-,-
Candela,36.2751828,-6.0897589,Andalucía,-,Conil de la Frontera,11140,-,-
La Estancia,36.2750840,-6.0898049,Andalucía,-,Conil de la Frontera,11140,-,-
Andaluz,36.2748935,-6.0886640,Andalucía,-,Conil de la Frontera,11140,-,-
Oasis Playa,36.2812633,-6.0995377,Andalucía,-,Conil de la Frontera,11140,-,"{"Desperados":3.80,"Estrella":3.50,"Mahou":3.50,"Águila": 3.50,"Alcazar":3.50}"
Feduchy Playa,36.2816009,-6.0999775,Andalucía,-,Conil de la Frontera,11140,-,-
Los Hermanos,36.2761125,-6.0878254,Andalucía,-,Conil de la Frontera,11140,-,-
Yerbamate,36.2761904,-6.0860851,Andalucía,-,Conil de la Frontera,11140,-,-
Mar 31,36.2754012,-6.0885991,Andalucía,-,Conil de la Frontera,11140,-,-
Lola,36.2763047,-6.0856864,Andalucía,-,Conil de la Frontera,11140,-,-
La Gloria,36.2761911,-6.0870529,Andalucía,-,Conil de la Frontera,11140,-,-
Cala Puntalejo,36.2937070,-6.1127169,Andalucía,-,Conil de la Frontera,11400,https://m.facebook.com/Cala-Puntalejo-101971868775088/|,-
CP Roche,36.3113030,-6.1126904,Andalucía,-,Conil de la Frontera,11400,-,-
Restaurante Francisco La Fontanilla,36.2807521,-6.0984997,Andalucía,-,Conil de la Frontera,11140,-,-
El Marinero,36.2901903,-6.1063607,Andalucía,-,Conil de la Frontera,11140,-,-
Casa Manolo Fuguilla,36.2736605,-6.0899514,Andalucía,-,Conil de la Frontera,11140,-,-
Lareira,36.2795287,-6.0930570,Andalucía,-,Conil de la Frontera,11140,-,-
Los Lunares,36.2752813,-6.0899628,Andalucía,-,Conil de la Frontera,11140,www.loslunaresconil.es|,-
Taberna flamenca el retaleo,36.2752850,-6.0901281,Andalucía,-,Conil de la Frontera,11140,-,-
Husa Conil Park,36.2780234,-6.0941810,Andalucía,-,Conil de la Frontera,11140,-,-
Marisquería La Pepa,36.2760530,-6.0912228,Andalucía,-,Conil de la Frontera,11140,-,-
Dona Lola,36.2754975,-6.0892532,Andalucía,-,Conil de la Frontera,11140,-,-
Pizzeria Coppola Conil,36.2759959,-6.0892613,Andalucía,-,Conil de la Frontera,11140,-,-
Bar-Terraza El Gamba,36.2746503,-6.0890320,Andalucía,-,Conil de la Frontera,11140,-,-
La Antigua,36.2745215,-6.0887679,Andalucía,-,Conil de la Frontera,11140,-,-
Terraza Medina,36.2751033,-6.0895902,Andalucía,-,Conil de la Frontera,11140,-,-
Trattoria Pizzeria Da Pietro,36.2788953,-6.0879805,Andalucía,-,Conil de la Frontera,11140,-,-
La Bahia Conil De La Frontera,36.2734957,-6.0901426,Andalucía,-,Conil de la Frontera,11140,-,-
El Rompeolas,36.2772000,-6.0926800,Andalucía,-,Conil de la Frontera,11140,-,-
C/ De Los Enologos CHURRERIA,36.2795700,-6.0892600,Andalucía,-,Conil de la Frontera,11140,-,-
Restaurante La Fontanilla,36.2806898,-6.0987317,Andalucía,-,Conil de la Frontera,11140,https://lafontanilla.com|,-
Casa Mercedes,36.2745960,-6.0835088,Andalucía,-,Conil de la Frontera,11140,-,-
Cabo Roche,36.3054649,-6.1290457,Andalucía,-,Conil de la Frontera,11400,-,-
Pizzería Lalla e Renato,36.2799617,-6.0888353,Andalucía,-,Conil de la Frontera,11140,-,-
La Tasca de Juan,36.2744595,-6.0886242,Andalucía,-,Conil de la Frontera,11140,-,-
Muralla,36.2743961,-6.0886506,Andalucía,-,Conil de la Frontera,11140,-,-
La Azotea de la Mejorana,36.2754506,-6.0902702,Andalucía,-,Conil de la Frontera,11140,-,-
Cadiz 11,36.2754944,-6.0903562,Andalucía,-,Conil de la Frontera,11140,-,-
Bar Ligero,36.2751955,-6.0899677,Andalucía,-,Conil de la Frontera,11140,-,-
Trastero,36.2750991,-6.0892382,Andalucía,-,Conil de la Frontera,11140,-,-
El Tergal,36.2978748,-6.1387375,Andalucía,-,Conil de la Frontera,11400,-,-
TGB,36.2737385,-6.0900476,Andalucía,-,Conil de la Frontera,11140,-,-
Los Corales,36.2756013,-6.0919883,Andalucía,-,Conil de la Frontera,11140,-,-
El Pasaje,36.2738017,-6.0902967,Andalucía,-,Conil de la Frontera,11140,-,-
Playa,36.2740121,-6.0906206,Andalucía,-,Conil de la Frontera,11140,-,-
